UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL
HS200016-CA01,1,1,2
HS200016-CA02,0,0,0
HS200016-CA03,0,0,0
HS200016-CA04,0,0,0
HS200016-CA05,2,1,3
HS200016-CA06,0,0,0
HS200016-CA07,0,0,0
HS200016-CA08,0,0,0
HS200016-E01,6,6,12
HS200016-E02,13,5,18
HS200016-E03,23,1,24
HS200016-E04,10,0,10
HS200016-E05,1,0,1
HS200016-FI01,2,1,3
HS200016-FI02,0,0,0
HS200016-FI03,0,0,0
HS200016-FI04,0,0,0
HS200016-SS01,0,2,2
HS200016-SS02,0,3,3
HS200016-SS03,0,7,7
HS200016-SS04,0,1,1
HS200016-SS05,1,1,2
HS200016-SS06,1,0,1
HS200016-SS07,0,2,2
HS200016-SS08,0,68,68
HS200016-SS09,0,2,2
HS200016-T03,0,0,0
HS200016-T04,0,0,0
HS200016-T05,0,0,0
HS200016-T06,2,0,2
HS200016-T07,0,0,0
HS200016-T08,2,0,2
HS200016-T09,1,0,1
HS200016-T10,0,0,0
HS200016-X01,4,0,4
HS200016-X02,3,0,3
HS200016-X03,0,0,0
HS200016-X04,0,0,0
HS200016-X05,0,1,1
HS200016-X06,0,1,1
HS200016-X07,0,2,2
HS200016-X08,1,0,1
HS200016-X09,0,1,1
HS200034-B01,0,0,0
HS200034-B02,0,0,0
HS200034-B03,0,0,0
HS200034-B04,0,0,0
HS200034-B05,0,0,0
HS200034-B06,0,0,0
HS200034-B07,0,0,0
HS200034-EP01,4,0,4
HS200034-EP02,0,0,0
HS200034-EP03,0,0,0
HS200034-EP04,0,0,0
HS200034-EP05,0,0,0
HS200034-EP06,0,0,0
HS200034-EP08,0,0,0
HS200034-EP09,0,0,0
HS200034-EP10,0,0,0
HS200034-EP11,0,0,0
HS200034-EP12,0,0,0
HS200034-FI01,2,0,2
HS200034-FI02,0,0,0
HS200034-FI03,0,0,0
HS200034-FI04,0,0,0
HS200034-FI06,0,0,0
HS200034-FI08,0,0,0
HS200034-FI09,0,0,0
HS200034-FI10,0,0,0
HS200034-FI11,0,0,0
HS200034-FI12,0,0,0
HS200034-FI13,0,0,0
HS200034-FI14,0,0,0
HS200034-FI15,0,0,0
HS200034-H01,0,0,0
HS200034-H02,0,0,0
HS200034-H03,0,0,0
HS200034-H04,0,0,0
HS200034-H05,0,0,0
HS200034-H06,0,0,0
HS200034-K01,8,0,8
HS200034-K02,0,1,1
HS200034-K03,0,0,0
HS200034-K04,0,0,0
HS200034-K05,0,0,0
HS200034-K06,0,0,0
HS200034-LP01,5,1,6
HS200034-LP02,0,0,0
HS200034-LP03,0,1,1
HS200034-NI01,0,0,0
HS200034-NI02,0,0,0
HS200034-NI03,0,0,0
HS200034-NI04,0,0,0
HS200034-NI05,0,0,0
HS200034-NI06,0,0,0
HS200034-NI07,0,0,0
HS200034-NI08,0,0,0
HS200034-NI09,0,0,0
HS200034-NI10,0,0,0
HS200034-NI11,0,0,0
HS200034-RI01,9,0,9
HS200034-T01,0,0,0
HS200034-T02,0,0,0
HS200034-T03,0,0,0
HS200034-T04,0,0,0
HS200034-T05,0,0,0
HS200034-T06,0,0,0
HS200034-T07,0,0,0
HS200034-T08,0,0,0
HS200034-T09,0,0,0
HS200034-T11,0,0,0
HS200034-T12,0,0,0
HS200034-T13,0,0,0
HS200034-T14,0,0,0
HS200034-T15,0,0,0
HS200034-X01,0,0,0
HS200034-X02,0,0,0
HS200034-X03,0,0,0
HS200034-X04,0,0,0
HS200034-X05,0,0,0
HS200034-X06,0,0,0
HS200034-X07,0,0,0
HS200034-X08,0,0,0
HS200034-X09,0,0,0
HS200034-X10,0,0,0
HS200034-X11,4,0,4
HS200034-X12,0,0,0
HS200034-X13,0,0,0
HS200034-X14,0,2,2
HS200034-X15,0,0,0
HS200034-X16,0,0,0
HS200034-X17,0,0,0
HS200034-X18,0,0,0
HS200034-X19,0,0,0
HS200034-X20,0,0,0
HS200034-X21,0,0,0
HS200034-X22,5,1,6
HS200034-X23,2,0,2
HS200034-X24,1,0,1
HS200034-X25,2,0,2
HS200034-X26,8,1,9
HS200034-X27,100,0,100
HS200034-X28,0,0,0
HS200034-X29,0,0,0
HS200034-X30,5,0,5
HS200034-X31,42,0,42
HS200034-X32,34,2,36
HS200034-X33,9,2,11
HS200034-X34,4,0,4
HS200034-X35,2,0,2
HS200034-X36,0,0,0
HS200034-X37,2,0,2
HS200034-X38,1,0,1
HS200034-X39,0,0,0
HS200034-X40,1,0,1
HS200034-X41,0,0,0
HS200034-X42,2,0,2
HS200034-X43,3,0,3
HS200034-X44,1,0,1
HS200034-X45,1,0,1
HS200034-X46,0,0,0
HS200034-X47,2,0,2
HS200034-X48,0,0,0
HS200034-X49,8,0,8
HS200034-X50,0,0,0
HS200034-X51,3,0,3
HS200034-X52,5,0,5
HS200034-X53,4,0,4
HS200034-X54,1,0,1
HS200034-X55,0,0,0
HS200109-X01,1,0,1
HS200109-X02,0,0,0
HS200109-X03,0,0,0
HS200109-X04,0,0,0
HS200109-X05,54,2,56
HS200109-X06,32,9,41
HS200109-X07,69,3,72
HS200109-X08,27,2,29
HS200109-X09,12,1,13
HS200109-X10,7,2,9
HS200109-X11,0,0,0
HS200109-X12,0,0,0
HS200109-X13,15,1,16
HS200109-X14,22,8,30
HS200109-X15,26,21,47
HS200109-X16,120,9,129
HS200109-X17,28,0,28
HS200109-X18,1,1,2
HS200109-X19,0,0,0
HS200109-X20,18,2,20
HS200109-X21,26,0,26
HS200109-X22,5,0,5
HS200109-X23,1,0,1
HS200109-X24,0,0,0
HS200109-X25,0,0,0
HS200109-X26,0,0,0
HS200109-X27,0,0,0
HS200109-X28,0,0,0
HS200109-X29,0,0,0
HS200109-X30,0,0,0
HS200109-X31,0,0,0
HS200109-X32,0,0,0
HS200109-X33,2,0,2
HS200109-X34,1,0,1
HS200109-X35,1,0,1
HS200109-X36,0,0,0
HS200109-X37,0,0,0
HS200109-X38,1,0,1
HS200109-X39,0,0,0
HS200109-X40,0,0,0
HS200109-X41,0,0,0
HS200109-X42,0,0,0
HS200109-X43,0,0,0
HS200109-X44,0,0,0
HS200109-X45,0,0,0
HS200109-X46,9,0,9
HS200109-X47,23,1,24
HS200109-X48,1,0,1
HS200109-X49,0,0,0
HS200109-X50,0,0,0
HS200109-X51,5,0,5
HS200109-X52,0,0,0
HS200109-X53,0,0,0
HS200109-X54,0,0,0
HS200109-X55,0,0,0
HS200109-X56,1,0,1
HS200109-X57,0,0,0
HS200109-X58,0,0,0
HS200109-X59,0,0,0
HS200109-X61,0,0,0
HS200109-X62,3,2,5
HS200109-X63,1,0,1
HS200109-X64,0,0,0
HS200109-X65,0,0,0
HS200109-X66,0,0,0
HS200109-X67,0,0,0
HS200109-X68,0,0,0
HS200109-X70,0,0,0
HS200109-X71,0,0,0
HS200109-X72,0,0,0
HS200109-X73,37,1,38
HS200109-X74,1,0,1
HS200109-X75,51,0,51
HS200109-X76,10,0,10
HS200109-X77,0,0,0
HS200109-X78,9,1,10
HS200109-X79,0,0,0
HS200109-X80,0,0,0
HS200109-X81,0,0,0
HS200109-X82,0,0,0
HS200109-X83,0,0,0
HS200109-X84,0,0,0
HS200109-X85,0,0,0
HS200109-X86,0,0,0
HS200109-X87,0,0,0
HS200109-X88,0,0,0
HS200109-X92,0,0,0
HS200109-X93,0,0,0
HS200109-X94,0,0,0
HS200109-X95,0,0,0
HS200109-X96,0,0,0
HS200109-X97,0,0,0
HS200114-DE01,0,1,1
HS200114-DE02,0,0,0
HS200114-DE03,0,1,1
HS200114-DE04,0,0,0
HS200114-DE05,0,3,3
HS200114-DE06,0,0,0
HS200114-EP01,1,7,8
HS200114-EP02,0,2,2
HS200114-EP03,1,1,2
HS200114-EP04,0,0,0
HS200114-EP05,0,0,0
HS200114-EP06,0,0,0
HS200114-EP07,0,0,0
HS200114-EP08,0,0,0
HS200114-FI01,5,3,8
HS200114-FI02,4,7,11
HS200114-FI03,0,0,0
HS200114-FI04,0,1,1
HS200114-FI05,0,0,0
HS200114-FI06,0,2,2
HS200114-FI07,0,0,0
HS200114-FI08,0,0,0
HS200114-FI09,0,2,2
HS200114-FI10,0,0,0
HS200114-FI11,0,0,0
HS200114-FI12,0,0,0
HS200114-FI13,0,0,0
HS200114-FI14,0,0,0
HS200114-FI15,0,0,0
HS200114-H01,0,0,0
HS200114-H02,2,0,2
HS200114-H03,0,0,0
HS200114-H04,0,0,0
HS200114-H05,0,0,0
HS200114-H06,0,0,0
HS200114-HS01,1,3,4
HS200114-HS02,1,0,1
HS200114-RI01,0,0,0
HS200114-RI02,0,0,0
HS200114-RI03,0,2,2
HS200114-RI04,0,0,0
HS200114-RI05,0,0,0
HS200114-SE01,2,0,2
HS200114-SE02,0,0,0
HS200114-SE03,1,0,1
HS200114-SE04,5,11,16
HS200114-SE05,4,5,9
HS200114-SM01,1,2,3
HS200114-SM02,0,1,1
HS200114-SM03,0,0,0
HS200114-T01,0,0,0
HS200114-T02,0,0,0
HS200114-T03,0,0,0
HS200114-T04,1,0,1
HS200114-T05,5,1,6
HS200114-T06,2,0,2
HS200114-T07,1,0,1
HS200114-T08,0,0,0
HS200114-T09,0,0,0
HS200114-T10,0,0,0
HS200114-T11,0,0,0
HS200114-T12,0,0,0
HS200114-T13,0,0,0
HS200114-T14,0,0,0
HS200114-VI01,1,0,1
HS200114-VI02,11,94,105
HS200114-VI03,15,19,34
HS200114-VI04,18,11,29
HS200114-VI05,0,14,14
HS200114-VI06,0,6,6
HS200118-015,1,5,6
HS200118-016,1,2,3
HS200118-017,0,4,4
HS200118-018,0,1,1
HS200118-019,0,3,3
HS200118-020,0,0,0
HS200118-021,0,0,0
HS200118-022,0,0,0
HS200118-023,0,0,0
HS200118-024,0,3,3
HS200118-025,0,0,0
HS200118-027,0,0,0
HS200118-028,0,1,1
HS200118-029,0,1,1
HS200118-030,0,0,0
HS200118-031,0,0,0
HS200118-032,0,1,1
HS200118-033,0,0,0
HS200118-034,0,0,0
HS200118-035,0,2,2
HS200118-036,0,1,1
HS200118-037,0,1,1
HS200118-038,0,2,2
HS200118-042,0,3,3
HS200118-044,0,2,2
HS200118-045,0,23,23
HS200118-048,0,7,7
HS200118-049,0,4,4
HS200118-050,0,1,1
HS200118-051,0,4,4
HS200118-054,0,17,17
HS200118-055,1,1,2
HS200118-057,0,0,0
HS200118-058,0,1,1
HS200118-059,0,0,0
HS200118-060,0,0,0
HS200118-061,0,0,0
HS200118-062,0,0,0
HS200118-063,0,0,0
HS200118-064,0,1,1
HS200118-065,0,0,0
HS200118-066,0,0,0
HS200118-067,0,0,0
HS200118-068,0,0,0
HS200118-069,2,0,2
HS200118-070,0,0,0
HS200118-071,0,0,0
HS200118-072,0,0,0
HS200118-073,0,0,0
HS200118-074,0,0,0
HS200118-075,3,0,3
HS200118-076,0,0,0
HS200118-077,0,0,0
HS200118-078,0,0,0
HS200118-079,0,0,0
HS200118-080,0,0,0
HS200118-081,0,0,0
HS200118-082,0,0,0
HS200118-083,0,0,0
HS200118-085,0,0,0
HS200118-086,0,0,0
HS200118-087,0,0,0
HS200118-088,0,0,0
HS200118-089,0,0,0
HS200118-091,0,0,0
HS200118-092,0,0,0
HS200118-093,0,0,0
HS200118-094,0,0,0
HS200118-095,0,0,0
HS200118-096,0,0,0
HS200118-097,0,0,0
HS200118-099,0,0,0
HS200118-100,0,0,0
HS200118-101,0,0,0
HS200118-102,0,0,0
HS200118-103,0,0,0
HS200118-104,0,0,0
HS200118-105,0,0,0
HS200118-106,0,0,0
HS200118-107,0,0,0
HS200118-108,0,0,0
HS200136-B01,0,0,0
HS200136-B02,0,0,0
HS200136-B03,0,0,0
HS200136-B04,0,0,0
HS200136-B05,0,0,0
HS200136-B06,0,0,0
HS200136-B07,0,0,0
HS200136-B08,0,0,0
HS200136-B09,0,0,0
HS200136-B10,0,0,0
HS200136-B11,0,0,0
HS200136-BUR01,1,0,1
HS200136-BUR02,1,0,1
HS200136-DE01,0,0,0
HS200136-DE02,0,0,0
HS200136-DE03,0,0,0
HS200136-DE04,0,0,0
HS200136-DE05,0,0,0
HS200136-DE06,0,0,0
HS200136-EP02,0,0,0
HS200136-EP03,0,0,0
HS200136-EP04,0,0,0
HS200136-EP05,0,0,0
HS200136-H01,0,0,0
HS200136-H02,0,0,0
HS200136-H03,0,0,0
HS200136-H04,0,0,0
HS200136-H05,1,0,1
HS200136-H07,0,0,0
HS200136-HS01,1,0,1
HS200136-HS02,0,0,0
HS200136-HS03,0,0,0
HS200136-HS04,0,0,0
HS200136-HS05,1,0,1
HS200136-HS06,0,0,0
HS200136-HS07,0,0,0
HS200136-IBC01,0,0,0
HS200136-IBC02,5,0,5
HS200136-IBC03,7,0,7
HS200136-IBC04,0,0,0
HS200136-IBC05,6,0,6
HS200136-IBC06,6,2,8
HS200136-IBC07,12,1,13
HS200136-IBC08,0,0,0
HS200136-IBC09,1,1,2
HS200136-IBC10,0,0,0
HS200136-IBC11,0,0,0
HS200136-IBC12,0,0,0
HS200136-IBC13,0,0,0
HS200136-IBC14,4,0,4
HS200136-IBC15,0,0,0
HS200136-IBC16,0,0,0
HS200136-IBC17,0,0,0
HS200136-IBC18,1,0,1
HS200136-IBC19,1,0,1
HS200136-IBC20,0,0,0
HS200136-IBC21,6,1,7
HS200136-IBC22,7,0,7
HS200136-IBC23,2,0,2
HS200136-IBC24,1,0,1
HS200136-IBC25,1,0,1
HS200136-IBC26,3,0,3
HS200136-IBC27,0,0,0
HS200136-IBC28,0,0,0
HS200136-ISEA01,2,2,4
HS200136-ISEA02,0,0,0
HS200136-ISEA03,0,0,0
HS200136-ISEA04,0,0,0
HS200136-ISEA05,0,0,0
HS200136-ISEA06,1,0,1
HS200136-ISEA07,10,1,11
HS200136-ISEA08,1,2,3
HS200136-ISEA09,0,0,0
HS200136-ISEA10,0,0,0
HS200136-ISEA11,16,1,17
HS200136-ISEA12,42,0,42
HS200136-ISEA13,12,1,13
HS200136-ISEA14,7,0,7
HS200136-ISEA15,9,1,10
HS200136-ISEA16,0,3,3
HS200136-ISEA17,0,0,0
HS200136-ISEA18,0,0,0
HS200136-ISEA19,0,0,0
HS200136-ISEA20,0,0,0
HS200136-ISEA21,0,0,0
HS200136-ISEA22,12,2,14
HS200136-ISEA23,2,0,2
HS200136-ISEA24,6,0,6
HS200136-ISEA25,1,0,1
HS200136-ISEA26,60,0,60
HS200136-ISEA27,3,0,3
HS200136-ISEA28,2,0,2
HS200136-ISEA29,11,0,11
HS200136-ISEA30,0,0,0
HS200136-ISEA31,0,0,0
HS200136-ISEA32,0,0,0
HS200136-ISEA33,1,0,1
HS200136-ISEA34,0,0,0
HS200136-ISEA35,1,0,1
HS200136-ISEA36,39,1,40
HS200136-ISEA37,0,0,0
HS200136-ISEA38,0,0,0
HS200136-ISEA39,0,0,0
HS200136-ISEA40,0,0,0
HS200136-ISEA41,0,0,0
HS200136-ISEA42,0,0,0
HS200136-ISEA43,1,0,1
HS200136-ISEA44,0,0,0
HS200136-LP01,16,0,16
HS200136-LP02,0,0,0
HS200136-LP03,0,0,0
HS200136-QCST01,11,0,11
HS200136-QCST02,2,0,2
HS200136-QCST03,0,0,0
HS200136-QCST04,1,0,1
HS200136-RI01,0,0,0
HS200136-RI02,1,1,2
HS200136-RI03,2,0,2
HS200136-RI04,5,0,5
HS200136-RI05,2,0,2
HS200136-SEA01,0,0,0
HS200136-SEA02,0,0,0
HS200136-SEA03,0,0,0
HS200136-SEA04,0,2,2
HS200136-VI01,17,0,17
HS200136-VI02,9,0,9
HS200136-VI03,3,0,3
HS200136-VI04,8,0,8
HS200136-VI05,2,1,3
HS200136-VI06,27,0,27
HS200136-VI07,4,0,4
HS200136-VI08,1,0,1
HS200136-VI09,2,0,2
HS200136-VI11,32,0,32
HS200136-VI12,0,0,0
HS200136-VI13,3,0,3
HS200136-VI14,1,0,1
HS200136-VI15,0,0,0
HS200136-VI16,5,1,6
HS200136-VI17,12,0,12
HS200136-VI18,1,0,1
HS200136-VI19,0,0,0
HS200136-VI20,0,0,0
HS200136-VI21,0,0,0
HS200136-VI22,0,0,0
HS200205-B01,0,0,0
HS200205-B02,0,0,0
HS200205-B03,0,0,0
HS200205-B04,0,0,0
HS200205-B05,0,0,0
HS200205-B06,0,0,0
HS200205-B07,0,0,0
HS200205-B08,0,0,0
HS200205-B09,0,0,0
HS200205-DE01,2,1,3
HS200205-DE02,0,0,0
HS200205-DE03,0,0,0
HS200205-DE04,0,0,0
HS200205-EP01,14,0,14
HS200205-EP02,3,0,3
HS200205-EP03,1,0,1
HS200205-EP04,0,0,0
HS200205-EP05,0,0,0
HS200205-EP06,11,2,13
HS200205-EP07,0,0,0
HS200205-EP08,2,0,2
HS200205-EP09,0,0,0
HS200205-EP10,0,0,0
HS200205-EP11,0,0,0
HS200205-EP12,0,0,0
HS200205-H01,0,0,0
HS200205-H02,0,0,0
HS200205-H03,0,0,0
HS200205-H04,0,0,0
HS200205-H05,0,0,0
HS200205-HS01,0,0,0
HS200205-HS02,0,0,0
HS200205-HS03,0,0,0
HS200205-HS04,0,0,0
HS200205-IBC01,0,0,0
HS200205-ISEA01,5,0,5
HS200205-ISEA02,0,0,0
HS200205-ISEA03,0,0,0
HS200205-ISEA04,0,0,0
HS200205-ISEA05,0,0,0
HS200205-ISEA06,0,0,0
HS200205-ISEA07,0,0,0
HS200205-ISEA08,1,0,1
HS200205-ISEA09,13,0,13
HS200205-ISEA10,1,1,2
HS200205-ISEA11,2,1,3
HS200205-ISEA12,0,0,0
HS200205-ISEA13,3,0,3
HS200205-ISEA14,39,0,39
HS200205-ISEA15,1,0,1
HS200205-ISEA16,0,0,0
HS200205-ISEA17,0,0,0
HS200205-ISEA18,0,0,0
HS200205-ISEA19,0,0,0
HS200205-IVI01,0,0,0
HS200205-IVI02,0,0,0
HS200205-IVI03,0,0,0
HS200205-IVI04,21,0,21
HS200205-IVI05,1,0,1
HS200205-IVI06,0,0,0
HS200205-IVI07,33,0,33
HS200205-IVI08,5,0,5
HS200205-IVI09,11,1,12
HS200205-JF01,4,0,4
HS200205-JF02,3,0,3
HS200205-JS01,0,0,0
HS200205-JS02,1,0,1
HS200205-JS03,0,0,0
HS200205-JS04,0,1,1
HS200205-JS05,1,0,1
HS200205-QCS01,0,0,0
HS200205-T01,0,0,0
HS200205-T02,0,0,0
HS200205-T03,0,0,0
HS200205-T04,0,0,0
HS200205-T05,0,0,0
HS200205-T06,0,0,0
HS200205-T07,0,0,0
HS200205-T08,0,0,0
HS200205-T09,0,0,0
HS200205-T10,2,1,3
HS200205-T11,0,0,0
HS200205-T12,0,0,0
HS200205-VI01,3,1,4
HS200205-VI02,8,0,8
HS200205-VI03,73,1,74
HS200205-VI04,0,0,0
HS200205-VI05,3,0,3
HS200205-VI06,2,0,2
HS200205-VI07,0,0,0
HS200205-VI08,0,0,0
HS200215-H06,0,0,0
HS200215-H07,0,0,0
HS200215-HS01,0,0,0
HS200215-HS02,0,0,0
HS200215-IBC01,1,1,2
HS200215-IBC02,0,1,1
HS200215-IBC03,0,0,0
HS200215-IBC04,0,1,1
HS200215-IBC05,0,0,0
HS200215-IBC06,0,0,0
HS200215-IBC07,0,0,0
HS200215-IBC08,0,0,0
HS200215-D05,0,0,0
HS200215-D06,0,0,0
HS200215-D07,0,0,0
HS200215-D08,0,0,0
HS200215-D09,0,1,1
HS200215-D10,0,0,0
HS200215-D11,0,0,0
HS200215-D12,0,0,0
HS200215-D13,0,0,0
HS200215-DE01,1,3,4
HS200215-DE02,3,0,3
HS200215-DE03,0,0,0
HS200215-DE04,0,0,0
HS200215-DE05,0,0,0
HS200215-DE06,0,0,0
HS200215-DE07,0,0,0
HS200215-EP01,12,4,16
HS200215-EP02,4,0,4
HS200215-EP03,3,0,3
HS200215-EP04,9,1,10
HS200215-EP05,0,0,0
HS200215-EP06,0,1,1
HS200215-EP07,0,0,0
HS200215-EP08,0,0,0
HS200215-EP09,0,0,0
HS200215-EP10,0,0,0
HS200215-EP11,0,0,0
HS200215-H01,0,0,0
HS200215-H02,1,0,1
HS200215-H03,0,0,0
HS200215-H04,0,0,0
HS200215-H05,0,0,0
HS200215-IBC09,0,0,0
HS200215-IBC10,0,0,0
HS200215-JF01,6,3,9
HS200215-JF02,0,1,1
HS200215-JF03,2,1,3
HS200215-QCS01,0,0,0
HS200215-RI01,0,1,1
HS200215-RI02,0,0,0
HS200215-RI03,0,0,0
HS200215-T01,0,0,0
HS200215-T02,0,0,0
HS200215-T03,0,0,0
HS200215-T04,0,0,0
HS200215-T05,0,0,0
HS200215-T06,0,0,0
HS200215-T07,0,0,0
HS200215-T08,0,0,0
HS200215-T09,0,0,0
HS200215-T10,0,0,0
HS200215-T11,0,0,0
HS200215-T12,0,0,0
HS200215-T13,0,0,0
HS200215-VI01,7,65,72
HS200235-DE02,0,2,2
HS200235-DE03,0,0,0
HS200235-DE04,0,0,0
HS200235-DE05,2,0,2
HS200235-EP01,3,4,7
HS200235-EP02,0,10,10
HS200235-EP03,1,3,4
HS200235-EP04,2,0,2
HS200235-EP05,0,2,2
HS200235-EP06,1,0,1
HS200235-EP07,0,0,0
HS200235-EP08,0,0,0
HS200235-EP09,0,0,0
HS200235-EP10,0,0,0
HS200235-EP11,0,0,0
HS200235-FI01,3,1,4
HS200235-FI02,2,0,2
HS200235-FI03,0,0,0
HS200235-FI04,0,0,0
HS200235-FI05,0,0,0
HS200235-FI06,0,0,0
HS200235-FI07,0,0,0
HS200235-FI08,0,0,0
HS200235-FI09,0,0,0
HS200235-FI10,0,0,0
HS200235-FI11,0,0,0
HS200235-FI12,0,0,0
HS200235-FI13,0,0,0
HS200235-H04,0,0,0
HS200235-H05,0,0,0
HS200235-H06,0,0,0
HS200235-H07,0,0,0
HS200235-H08,0,0,0
HS200235-HS01,0,0,0
HS200235-HS02,0,0,0
HS200235-HS03,0,0,0
HS200235-ISEA01,0,1,1
HS200235-ISEA02,3,3,6
HS200235-ISEA03,7,0,7
HS200235-ISEA04,2,0,2
HS200235-ISEA05,0,0,0
HS200235-ISEA06,1,0,1
HS200235-ISEA07,2,1,3
HS200235-T01,0,0,0
HS200235-T02,0,0,0
HS200235-T03,0,0,0
HS200235-T04,0,0,0
HS200235-T05,1,0,1
HS200235-T06,0,0,0
HS200235-T07,0,0,0
HS200235-T08,0,0,0
HS200235-T09,0,0,0
HS200235-T10,0,0,0
HS200235-T11,0,0,0
HS200235-T12,0,0,0
HS200235-T13,0,0,0
HS200235-VI01,2,5,7
HS200235-VI02,3,4,7
HS200235-VI03,0,0,0
HS200235-VI04,1,1,2
HS200235-VI05,0,0,0
HS200235-VI06,0,0,0
HS200235-VI07,1,1,2
HS200238-DE01,7,0,7
HS200238-DE03,0,0,0
HS200238-DE04,0,0,0
HS200238-DE05,0,0,0
HS200238-EP01,6,4,10
HS200238-EP02,0,0,0
HS200238-EP03,0,0,0
HS200238-EP04,0,0,0
HS200238-EP05,0,0,0
HS200238-EP06,0,0,0
HS200238-EP07,0,0,0
HS200238-EP08,0,0,0
HS200238-EP09,0,0,0
HS200238-EP10,0,0,0
HS200238-EP11,0,0,0
HS200238-EP12,0,0,0
HS200238-FI01,0,0,0
HS200238-FI02,0,0,0
