"fish_number","station_id","dataset","year","month","jday","start_lat","start_long","age","ship_fl","batch_dna_number","stock_1","stock_2","stock_3","stock_4","stock_5","region_1","region_2","region_3","region_4","region_5","prob_1","prob_2","prob_3","prob_4","prob_5"
"BCSI-201731-HW01-124-001","BCSI-201731-HW01","HighSeas",2017,5,136,49.385,-123.413,"J",90,"58-0004","SLIM_C","MCGREGOR","BOWRON","DOME","MORKILL","UPFR","UPFR","UPFR","UPFR","UPFR",0.747,0.2113,0.0111,0.0084,0.0083
"BCSI-201732-HW03-124-001","BCSI-201732-HW03","HighSeas",2017,6,176,49.387,-123.41,"J",110,"58-0027","L_SHUSWAP","BESSETTE","L_ADAMS","LITTLE_R","M_SHUSWAP","SOTH","SOTH","SOTH","SOTH","SOTH",0.875,0.0699,0.036,0.0143,0.0038
"BCSI-201732-HW06-124-001","BCSI-201732-HW06","HighSeas",2017,6,173,49.418,-123.342,"J",146,"58-0016","SLIM_C","BOWRON","HOLMES","MORKILL","TETE_JAUNE","UPFR","UPFR","UPFR","UPFR","UPFR",0.9938,0.0018,0.0017,0.0015,0.001
"BCSI-201732-HW27-124-001","BCSI-201732-HW27","HighSeas",2017,6,175,49.482,-123.254,"J",110,"58-0020","SLIM_C","TETE_JAUNE","HOLMES","U_CARIBOO","HORSEFLY","UPFR","UPFR","UPFR","MUFR","MUFR",0.9712,0.0163,0.0067,0.0042,9e-04
"BCSI-201732-HW27-124-002","BCSI-201732-HW27","HighSeas",2017,6,175,49.482,-123.254,"J",105,"58-0021","L_THOMPSON","SLIM_C","SALMON@PG","LITTLE_R","HORSEFLY","SOTH","UPFR","UPFR","SOTH","MUFR",0.5282,0.3709,0.0569,0.023,0.0103
"BCSI-201778-BR09-124-001","BCSI-201778-BR09","HighSeas",2017,10,280,50.818,-126.419,"J",164,"63-0376","QUINSAM",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-BR09-124-002","BCSI-201778-BR09","HighSeas",2017,10,280,50.818,-126.419,"A",362,"63-0377","NIMPKISH","WOSS_LAKE",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9997,3e-04,NA,NA,NA
"BCSI-201778-SS03-124-008","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",220,"63-0309","QUINSAM",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-SS03-124-013","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",223,"63-0314","DOCEE",NA,NA,NA,NA,"NOMN",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-SS03-124-012","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",198,"63-0313","WANNOCK_R",NA,NA,NA,NA,"NOMN",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-SS03-124-001","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",245,"63-0302","QUINSAM","QUATSE","NIMPKISH",NA,NA,"ECVI","ECVI","ECVI",NA,NA,0.9614,0.0299,0.0087,NA,NA
"BCSI-201778-SS03-124-011","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",192,"63-0312","QUINSAM","PUNTLEDGE_F","BIG_QUALICUM",NA,NA,"ECVI","ECVI","ECVI",NA,NA,0.9998,1e-04,1e-04,NA,NA
"BCSI-201778-SS03-124-010","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"A",370,"63-0311","SOOS_CR_H","BIG_QUALICUM","SNOHOMISH_R","PUNTLEDGE_F","GREEN_F@SOOS","PUGET SOUND","ECVI","PUGET SOUND","PUGET SOUND","ECVI",0.9548,0.017,0.0123,0.0084,0.0031
"BCSI-201778-SS03-124-009","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"A",448,"63-0310","SKAGIT_SU","HARRISON","SKYKOMISH_SU","CHUCKWALLA","U_DEAN","PUGET SOUND","LWFR-F","PUGET SOUND","NOMN","NOMN",0.6826,0.1536,0.0583,0.048,0.022
"BCSI-201778-SS03-124-007","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",227,"63-0308","QUINSAM",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-SS03-124-006","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",241,"63-0307","QUINSAM","NIMPKISH","SNOHOMISH_R",NA,NA,"ECVI","ECVI","PUGET SOUND",NA,NA,0.999,9e-04,1e-04,NA,NA
"BCSI-201778-SS03-124-005","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",206,"63-0306","DEVEREUX","KLINAKLINI","U_ATNARKO","BOWRON",NA,"SOMN","SOMN","NOMN",NA,"UPFR",0.991,0.007,0.001,0.001,NA
"BCSI-201778-SS03-124-004","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",205,"63-0305","QUINSAM",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"BCSI-201778-SS03-124-002","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",240,"63-0303","U_DEAN","DEVEREUX","SKYKOMISH_SU","KLINAKLINI","U_ATNARKO","NOMN","SOMN","PUGET SOUND","NOMN","SOMN",0.9505,0.0444,0.0015,0.0013,0.001
"BCSI-201778-SS03-124-003","BCSI-201778-SS03","HighSeas",2017,10,277,51.298,-127.647,"J",186,"63-0304","WANNOCK_R","SKAGIT_SU","HANFORD_REACH","LYON'S_FERRY_F",NA,"NOMN","PUGET SOUND","UP COL-SU/F",NA,"SNAKE-F",0.9928,0.0037,0.0034,1e-04,NA
"HS201416-GI02-124-001","HS201416-GI02","HighSeas",2014,3,67,48.652,-123.508,"A",513,"49-0038","COWICHAN","PUNTLEDGE_F","QUINSAM","SNOHOMISH_R","GREEN@KENDAL_F","ECVI","ECVI","ECVI","PUGET SOUND","PUGET SOUND",0.3992,0.3296,0.2423,0.0137,0.0041
"HS201416-GI07-124-001","HS201416-GI07","HighSeas",2014,3,67,48.809,-123.334,"A",464,"49-0053","CHILLIWACK_F","CHILLIWAC@STAV","SOOS_CR_H","GREEN@KENDAL_F","HARRISON","LWFR-F","LWFR-F","PUGET SOUND","PUGET SOUND","LWFR-F",0.5274,0.2424,0.0902,0.0758,0.038
"HS201635-HW01-124-009","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",80,"55-0097","SLIM_C","HOLMES","MORKILL","DOME","BOWRON","UPFR","UPFR","UPFR","UPFR","UPFR",0.9546,0.0315,0.0106,0.0032,1e-04
"HS201635-HW01-124-014","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",104,"55-0102","RAFT_R","FINN","L_THOMPSON","CLEARWATER","LITTLE_R","NOTH","NOTH","SOTH","NOTH","SOTH",0.9806,0.0097,0.0079,0.0013,4e-04
"HS201635-HW01-124-013","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",97,"55-0101","NICOLA","U_COLDWAT_SP","DEADMAN","U_SPIUS_SP","SPIUS","LWTH","LWTH","LWTH","LWTH","LWTH",0.4958,0.2102,0.0859,0.0646,0.0468
"HS201635-HW01-124-012","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",91,"55-0100","HOLMES","SWIFT","TETE_JAUNE","HORSEFLY","SLIM_C","UPFR","UPFR","UPFR","MUFR","UPFR",0.5634,0.3638,0.0471,0.0113,0.008
"HS201635-HW01-124-002","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",99,"55-0090","DOME","MORKILL","BOWRON","SLIM_C","TORPY","UPFR","UPFR","UPFR","UPFR","UPFR",0.9385,0.0448,0.0069,0.0038,0.0021
"HS201635-HW01-124-010","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",95,"55-0098","SLIM_C","HOLMES","MORKILL","SWIFT","DOME","UPFR","UPFR","UPFR","UPFR","UPFR",0.9895,0.0058,0.0026,8e-04,4e-04
"HS201635-HW01-124-008","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",89,"55-0096","SLIM_C","MORKILL","HOLMES","BOWRON","DOME","UPFR","UPFR","UPFR","UPFR","UPFR",0.9238,0.0573,0.0099,0.0083,5e-04
"HS201635-HW01-124-007","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",73,"55-0095","SOUTH_THOM","LITTLE_R","L_THOMPSON","L_SHUSWAP","L_ADAMS","SOTH","SOTH","SOTH","SOTH","SOTH",0.7861,0.1651,0.0477,6e-04,5e-04
"HS201635-HW01-124-006","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",97,"55-0094","CLEARWATER","SOUTH_THOM","RAFT_R","L_SHUSWAP","NECHAKO","NOTH","SOTH","NOTH","SOTH","MUFR",0.9602,0.0095,0.0088,0.0083,0.0067
"HS201635-HW01-124-005","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",90,"55-0093","CLEARWATER","RAFT_R","LEMIEUX_CR",NA,NA,"NOTH","NOTH","NOTH",NA,NA,0.9979,0.0018,3e-04,NA,NA
"HS201635-HW01-124-004","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",90,"55-0092","HOLMES","SLIM_C","MORKILL","WILLOW_R","DOME","UPFR","UPFR","UPFR","UPFR","UPFR",0.4773,0.2945,0.1485,0.0394,0.0253
"HS201635-HW01-124-003","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",94,"55-0091","SLIM_C","MORKILL","HOLMES","BOWRON","GOAT","UPFR","UPFR","UPFR","UPFR","UPFR",0.8217,0.1191,0.0463,0.0039,0.0035
"HS201635-HW01-124-011","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",97,"55-0099","CLEARWATER","RAFT_R",NA,NA,NA,"NOTH","NOTH",NA,NA,NA,0.9997,3e-04,NA,NA,NA
"HS201635-HW01-124-015","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",89,"55-0103","SLIM_C","LITTLE_R","SOUTH_THOM","MORKILL","BOWRON","UPFR","SOTH","SOTH","UPFR","UPFR",0.9557,0.0189,0.0129,0.0056,0.0052
"HS201635-HW01-124-001","HS201635-HW01","HighSeas",2016,5,137,49.351,-123.338,"J",93,"55-0089","DOME","SLIM_C","BOWRON","MORKILL","HOLMES","UPFR","UPFR","UPFR","UPFR","UPFR",0.914,0.0463,0.0196,0.0142,0.0034
"HS201638-CB02-124-001","HS201638-CB02","HighSeas",2016,8,238,48.76,-123.57,"J",194,"55-0388","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB02-124-002","HS201638-CB02","HighSeas",2016,8,238,48.76,-123.57,"J",163,"55-0389","SOOS_CR_H","SNOHOMISH_R","BIG_QUALICUM","COWICHAN","L_QUALICUM","PUGET SOUND","PUGET SOUND","ECVI","ECVI","ECVI",0.8301,0.1388,0.0252,0.0038,8e-04
"HS201638-CB04-124-002","HS201638-CB04","HighSeas",2016,8,238,48.761,-123.575,"J",190,"55-0394","SOOS_CR_H","SNOHOMISH_R","GREEN_F@SOOS",NA,NA,"PUGET SOUND","PUGET SOUND","PUGET SOUND",NA,NA,0.9989,9e-04,2e-04,NA,NA
"HS201638-CB08-124-004","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",165,"55-0408","COWICHAN","NANAIMO_F","BIG_QUALICUM",NA,NA,"ECVI","ECVI","ECVI",NA,NA,0.9988,0.001,2e-04,NA,NA
"HS201638-CB08-124-005","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",157,"55-0409","COWICHAN","BIG_QUALICUM","PUNTLEDGE_F",NA,NA,"ECVI","ECVI","ECVI",NA,NA,0.9996,3e-04,1e-04,NA,NA
"HS201638-CB08-124-003","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",150,"55-0407","COWICHAN","BIG_QUALICUM",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9998,2e-04,NA,NA,NA
"HS201638-CB08-124-002","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",160,"55-0406","COWICHAN","BIG_QUALICUM","L_QUALICUM","NANAIMO_F","PUNTLEDGE_F","ECVI","ECVI","ECVI","ECVI","ECVI",0.9493,0.0286,0.0171,0.004,0.001
"HS201638-CB08-124-001","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",130,"55-0405","COWICHAN","BIG_QUALICUM",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9986,0.0014,NA,NA,NA
"HS201638-CB08-124-006","HS201638-CB08","HighSeas",2016,8,239,48.754,-123.606,"J",154,"55-0410","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB09-124-003","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",149,"55-0414","COWICHAN","NANAIMO_F","L_QUALICUM","PUNTLEDGE_F","BIG_QUALICUM","ECVI","ECVI","ECVI","ECVI","ECVI",0.9952,0.0034,4e-04,4e-04,4e-04
"HS201638-CB09-124-006","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",177,"55-0417","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB09-124-008","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",157,"55-0419","COWICHAN","BIG_QUALICUM",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9994,6e-04,NA,NA,NA
"HS201638-CB09-124-007","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",142,"55-0418","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB09-124-004","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",145,"55-0415","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB09-124-002","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",149,"55-0413","HARRISON","CHILLIWACK_F","COWICHAN","CHILLIWAC@STAV","MAMQUAM","LWFR-F","LWFR-F","ECVI","LWFR-F","SOMN",0.9967,0.0022,5e-04,3e-04,3e-04
"HS201638-CB09-124-005","HS201638-CB09","HighSeas",2016,8,239,48.744,-123.61,"J",150,"55-0416","COWICHAN","NANAIMO_F",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9999,1e-04,NA,NA,NA
"HS201638-CB10-124-001","HS201638-CB10","HighSeas",2016,8,239,48.734,-123.58,"J",130,"55-0420","COWICHAN","BIG_QUALICUM",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9997,3e-04,NA,NA,NA
"HS201638-CB10-124-002","HS201638-CB10","HighSeas",2016,8,239,48.734,-123.58,"J",149,"55-0421","COWICHAN","PUNTLEDGE_F","BIG_QUALICUM",NA,NA,"ECVI","ECVI","ECVI",NA,NA,0.9996,2e-04,2e-04,NA,NA
"HS201638-CB10-124-003","HS201638-CB10","HighSeas",2016,8,239,48.734,-123.58,"J",134,"55-0422","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB12-124-005","HS201638-CB12","HighSeas",2016,8,239,48.731,-123.542,"J",161,"55-0439","COWICHAN",NA,NA,NA,NA,"ECVI",NA,NA,NA,NA,1,NA,NA,NA,NA
"HS201638-CB12-124-004","HS201638-CB12","HighSeas",2016,8,239,48.731,-123.542,"J",144,"55-0438","COWICHAN","NANAIMO_F","BIG_QUALICUM","PUNTLEDGE_F",NA,"ECVI","ECVI","ECVI","ECVI",NA,0.9687,0.0288,0.0023,2e-04,NA
"HS201638-CB12-124-003","HS201638-CB12","HighSeas",2016,8,239,48.731,-123.542,"J",150,"55-0437","COWICHAN","PUNTLEDGE_F","L_QUALICUM","BIG_QUALICUM",NA,"ECVI","ECVI","ECVI","ECVI",NA,0.9991,6e-04,2e-04,1e-04,NA
"HS201638-CB12-124-002","HS201638-CB12","HighSeas",2016,8,239,48.731,-123.542,"J",157,"55-0436","COWICHAN","PUNTLEDGE_F",NA,NA,NA,"ECVI","ECVI",NA,NA,NA,0.9999,1e-04,NA,NA,NA
