"stock","Region1Name","Region2Name","Region3Name","Region4Name"
"EEL_F","California_Coast","California","Oregon/California","CoastUS"
"AMERICAN","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN_R","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"BATTLE_CR","Central_Valley_fa","California","Oregon/California","CoastUS"
"BATTLE_CREEK","Central_Valley_fa","California","Oregon/California","CoastUS"
"BUTTE_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"MERCED","Central_Valley_fa","California","Oregon/California","CoastUS"
"MOKELUMNE","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACR_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACR_LF","Central_Valley_fa","California","Oregon/California","CoastUS"
"STANISLAUS","Central_Valley_fa","California","Oregon/California","CoastUS"
"TOULUMNE","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA_SP","Central_Valley_fa","California","Oregon/California","CoastUS"
"BUTTE_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"FEATHER_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"BLUE_CR","Klamath_R","California","Oregon/California","CoastUS"
"BLUE_CREEK","Klamath_R","California","Oregon/California","CoastUS"
"SALMON_CAL","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY_F","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY_SP","Klamath_R","California","Oregon/California","CoastUS"
"CLEELMHATCH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SIUSLAW","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_SMITH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_SP","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"HUNTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"HUNTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"LOBSTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"LOBSTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"PISTOL","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"PISTOL_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"WINCHUK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"EUCHRE_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"EUCHRE_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NEHALEM","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NESTUCCA_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_HAT_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_HAT_SP","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"ELWHA_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HOH_RIVER_SP_S","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUEETS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SOLDUC_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"WILLAPA_CR","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"ABERNATHY F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ABERNATHY_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS_N","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS_NO","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COWEEMAN","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"MACKENZIE","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"NORTH SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"NORTH_SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"SANDY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"CHEWUCH SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHEWUCH_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHIWAWA SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHIWAWA_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ENTIAT","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ENTIAT_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"GRANITE","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN DAY MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_MAIN","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_N","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_NORTH","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"NACHES_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CR_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CREEK_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"TWISP_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"COWLITZ_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"DESCHUTES-F","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD_REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OKANAGAN","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OKANAGAN_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OSOYOOS_RESID","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"SILMILKAMEEN_S","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"LYON'S_FERRY_F","Snake_R_fa","Snake Fall","Snake","ColR"
"FRENCHMAN-SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"IMNAHA","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"JOHNSON_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MARSH CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MARSH CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MARSH_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MARSH_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MCCALL","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MCCALL HAT","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MCCALL_HAT","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MCCALL_RIVER","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MINAM_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"MINAM_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"RAPID SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"RAPID_SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"SALMON E.FORK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"SALMON_E_FORK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"SECECH","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"SECECH_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"SNAKE_S","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"TUCANNON_SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"UP_SALMON-SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"UPPER_VALLEY","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"VALLEY_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"VALLEY_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"WENAHA","Snake_R_sp/su","Snake Sp-Su","Snake","ColR"
"BLANCHARD","Alsek","North/Central BC","North/Central BC","NBC"
"KLUKSHU","Alsek","North/Central BC","North/Central BC","NBC"
"TAKHANNE","Alsek","North/Central BC","North/Central BC","NBC"
"NIMPKISH","ECVI","North/Central BC","North/Central BC","NBC"
"CRANBERRY","NASS","North/Central BC","North/Central BC","NBC"
"DAMDOCHAX","NASS","North/Central BC","North/Central BC","NBC"
"ISHKHEENICKH","NASS","North/Central BC","North/Central BC","NBC"
"KINCOLITH","NASS","North/Central BC","North/Central BC","NBC"
"KITEEN","NASS","North/Central BC","North/Central BC","NBC"
"KWINAGEESE","NASS","North/Central BC","North/Central BC","NBC"
"KWINAMASS","NASS","North/Central BC","North/Central BC","NBC"
"MEZIADIN","NASS","North/Central BC","North/Central BC","NBC"
"OWEGEE","NASS","North/Central BC","North/Central BC","NBC"
"SEASKINNISH","NASS","North/Central BC","North/Central BC","NBC"
"SNOWBANK","NASS","North/Central BC","North/Central BC","NBC"
"TEIGEN","NASS","North/Central BC","North/Central BC","NBC"
"TSEAX","NASS","North/Central BC","North/Central BC","NBC"
"ASHLULM","NOMN","North/Central BC","North/Central BC","NBC"
"ATNARKO","NOMN","North/Central BC","North/Central BC","NBC"
"CHUCKWALLA","NOMN","North/Central BC","North/Central BC","NBC"
"DEAN","NOMN","North/Central BC","North/Central BC","NBC"
"DEAN_RIVER","NOMN","North/Central BC","North/Central BC","NBC"
"DOCEE","NOMN","North/Central BC","North/Central BC","NBC"
"HIRSCH","NOMN","North/Central BC","North/Central BC","NBC"
"KATEEN","NOMN","North/Central BC","North/Central BC","NBC"
"KILBELLA","NOMN","North/Central BC","North/Central BC","NBC"
"KILDALA","NOMN","North/Central BC","North/Central BC","NBC"
"KITIMAT","NOMN","North/Central BC","North/Central BC","NBC"
"KITLOPE","NOMN","North/Central BC","North/Central BC","NBC"
"LOWATNARKO","NOMN","North/Central BC","North/Central BC","NBC"
"LOWATNARKO(11)","NOMN","North/Central BC","North/Central BC","NBC"
"NEECHANZE","NOMN","North/Central BC","North/Central BC","NBC"
"NUSATSUM","NOMN","North/Central BC","North/Central BC","NBC"
"SALOOMPT","NOMN","North/Central BC","North/Central BC","NBC"
"TAKIA","NOMN","North/Central BC","North/Central BC","NBC"
"TAKIA_RIVER","NOMN","North/Central BC","North/Central BC","NBC"
"U_ATNARKO","NOMN","North/Central BC","North/Central BC","NBC"
"U_DEAN","NOMN","North/Central BC","North/Central BC","NBC"
"WANNOCK","NOMN","North/Central BC","North/Central BC","NBC"
"WANNOCK_R","NOMN","North/Central BC","North/Central BC","NBC"
"YAKOUN","QCI","North/Central BC","North/Central BC","NBC"
"BABINE","Skeena Babine","North/Central BC","North/Central BC","NBC"
"BULKLEY","Skeena Bulkley","North/Central BC","North/Central BC","NBC"
"BULKLEY_SP","Skeena Bulkley","North/Central BC","North/Central BC","NBC"
"MORICE","Skeena Bulkley","North/Central BC","North/Central BC","NBC"
"MORICE_R","Skeena Bulkley","North/Central BC","North/Central BC","NBC"
"ECSTALL","Skeena Lower","North/Central BC","North/Central BC","NBC"
"EXCHAMSIKS","Skeena Lower","North/Central BC","North/Central BC","NBC"
"EXSTEW_R","Skeena Lower","North/Central BC","North/Central BC","NBC"
"GITNADOIX","Skeena Lower","North/Central BC","North/Central BC","NBC"
"KASIKS","Skeena Lower","North/Central BC","North/Central BC","NBC"
"KASIKS_R","Skeena Lower","North/Central BC","North/Central BC","NBC"
"KHYEX_R","Skeena Lower","North/Central BC","North/Central BC","NBC"
"KITSUMKALUM_R","Skeena Lower","North/Central BC","North/Central BC","NBC"
"L_KALUM","Skeena Lower","North/Central BC","North/Central BC","NBC"
"L_KALUM@AC","Skeena Lower","North/Central BC","North/Central BC","NBC"
"ZYMOGOTITZ","Skeena Lower","North/Central BC","North/Central BC","NBC"
"ZYMOGOTITZ_R","Skeena Lower","North/Central BC","North/Central BC","NBC"
"KISPIOX","Skeena Mid","North/Central BC","North/Central BC","NBC"
